external_course_id,title,organization,certificate_type,duration,rating,reviews_num,difficulty,external_url,students_enrolled
175,Data Management for Clinical Research,Vanderbilt University,Course,1 - 3 Months,4.6,44.8k,Beginner,https://www.coursera.org/learn/clinical-data-management,11630.0
176,Data Mining,University of Illinois at Urbana-Champaign,Specialization,3 - 6 Months,4.6,17.8k,Intermediate,https://www.coursera.org/specializations/data-mining,57016.0
177,Data Science,Johns Hopkins University,Specialization,3 - 6 Months,4.6,204,Beginner,https://www.coursera.org/specializations/jhu-data-science,3919.0
178,Data Science Foundations Statistical Inference,University of Colorado Boulder,Specialization,3 - 6 Months,4.7,1.5k,Intermediate,https://www.coursera.org/specializations/statistical-inference-for-data-science-applications,108397.0
179,Data Science Fundamentals with Python and SQL,IBM,Specialization,3 - 6 Months,4.5,2.9k,Beginner,https://www.coursera.org/specializations/data-science-fundamentals-python-sql,58550.0
180,Data Science Math Skills,Duke University,Course,1 - 3 Months,4.5,50.3k,Beginner,https://www.coursera.org/learn/datasciencemathskills,482014.0
181,Data Science Methodology,IBM,Course,1 - 4 Weeks,4.4,177,Beginner,https://www.coursera.org/learn/data-science-methodology,8330.0
182,Data Science with Databricks for Data Analysts,Databricks,Specialization,3 - 6 Months,4.6,58.9k,Intermediate,https://www.coursera.org/specializations/data-science-with-databricks-for-data-analysts,38441.0
183,Data Science Foundations using R,Johns Hopkins University,Specialization,3 - 6 Months,4.5,11.4k,Beginner,https://www.coursera.org/specializations/data-science-foundations-r,397523.0
184,Data Science Statistics and Machine Learning,Johns Hopkins University,Specialization,3 - 6 Months,4.6,19.5k,Intermediate,https://www.coursera.org/specializations/data-science-statistics-machine-learning,267763.0
185,Data Structures and Algorithms,University of California San Diego,Specialization,3 - 6 Months,4.5,522,Intermediate,https://www.coursera.org/specializations/data-structures-algorithms,13769.0
186,Data Visualization Dashboarding with R,Johns Hopkins University,Specialization,3 - 6 Months,4.6,47.7k,Beginner,https://www.coursera.org/specializations/jhu-data-visualization-dashboarding-with-r,101470.0
187,Data Visualization and Dashboards with Excel and Cognos,IBM,Course,1 - 4 Weeks,4.4,7.1k,Beginner,https://www.coursera.org/learn/data-visualization-dashboards-excel-cognos,34483.0
188,Data Visualization with Python,IBM,Course,1 - 3 Months,4.6,16.2k,Intermediate,https://www.coursera.org/learn/python-for-data-visualization,320613.0
189,Data Visualization with Tableau,"University of California, Davis",Specialization,3 - 6 Months,4.8,349,Beginner,https://www.coursera.org/specializations/data-visualization,10329.0
190,Data Warehousing for Business Intelligence,University of Colorado System,Specialization,3 - 6 Months,4.7,3.1k,Advanced,https://www.coursera.org/specializations/data-warehousing,105799.0
191,Data-driven Decision Making,PwC,Course,1 - 4 Weeks,4.5,11.3k,Beginner,https://www.coursera.org/learn/decision-making,241022.0
192,Databases and SQL for Data Science with Python,IBM,Course,1 - 3 Months,4.5,7.8k,Beginner,https://www.coursera.org/learn/sql-data-science,143648.0
193,Decentralized Finance (DeFi) The Future of Finance,Duke University,Specialization,3 - 6 Months,4.5,3.9k,Intermediate,https://www.coursera.org/specializations/decentralized-finance-duke,60101.0
194,"Decisions, Decisions Dashboards and Reports",Google,Course,1 - 3 Months,4.6,6k,Advanced,https://www.coursera.org/learn/decisions-decisions-dashboards-and-reports,179076.0
195,Deep Learning,DeepLearning.AI,Specialization,3 - 6 Months,4.6,18.5k,Intermediate,https://www.coursera.org/specializations/deep-learning,383947.0
196,DeepLearning.AI TensorFlow Developer,DeepLearning.AI,Professional Certificate,3 - 6 Months,4.8,335,Intermediate,https://www.coursera.org/professional-certificates/tensorflow-in-practice,15467.0
197,Deploying Machine Learning Models in Production,DeepLearning.AI,Course,1 - 4 Weeks,4.8,141.3k,Advanced,https://www.coursera.org/learn/deploying-machine-learning-models-in-production,808743.0
198,Desarrollador front-end de Meta,Meta,Professional Certificate,3 - 6 Months,4.4,1.5k,Beginner,https://www.coursera.org/professional-certificates/meta-front-end-developer-es,54602.0
199,Design Thinking,University of Virginia,Specialization,3 - 6 Months,4.7,24.2k,Beginner,https://www.coursera.org/specializations/uva-darden-design-thinking,188692.0
200,Design a User Experience for Social Good Prepare for Jobs,Google,Course,1 - 3 Months,4.5,285,Beginner,https://www.coursera.org/learn/ux-design-jobs,27902.0
201,Design and Interpretation of Clinical Trials,Johns Hopkins University,Course,1 - 3 Months,4.6,66,Mixed,https://www.coursera.org/learn/clinical-trials,47565.0
202,DevOps on AWS,Amazon Web Services,Specialization,1 - 3 Months,4.6,69,Intermediate,https://www.coursera.org/specializations/aws-devops,3201.0
203,"DevOps, Cloud, and Agile Foundations",IBM,Specialization,3 - 6 Months,4.9,2.8k,Beginner,https://www.coursera.org/specializations/devops-cloud-and-agile-foundations,130698.0
204,Developing AI Applications with Python and Flask,IBM,Course,1 - 4 Weeks,4.7,4.2k,Intermediate,https://www.coursera.org/learn/python-project-for-ai-application-development,138690.0
205,Developing APIs with Google Cloud's Apigee API Platform,Google Cloud,Specialization,3 - 6 Months,4.8,4.5k,Intermediate,https://www.coursera.org/specializations/apigee-api-gcp,28860.0
206,Developing Applications with Google Cloud,Google Cloud,Specialization,3 - 6 Months,4.7,7.5k,Intermediate,https://www.coursera.org/specializations/developing-apps-gcp,12137.0
207,Developing Front-End Apps with React,IBM,Course,1 - 4 Weeks,4.4,490,Intermediate,https://www.coursera.org/learn/developing-frontend-apps-with-react,44985.0
208,Devenir entrepreneur du changement,HEC Paris,Course,1 - 3 Months,4.7,2.8k,Mixed,https://www.coursera.org/learn/entrepreneur-changement,13389.0
209,Digital Fashion Innovation,"Parsons School of Design, The New School",Specialization,1 - 3 Months,4.7,48.2k,Intermediate,https://www.coursera.org/specializations/digitalfashioninnovation,77875.0
210,Digital Manufacturing Design Technology,University at Buffalo,Specialization,3 - 6 Months,4.7,595,Beginner,https://www.coursera.org/specializations/digital-manufacturing-design-technology,79172.0
211,Digital Marketing,University of Illinois at Urbana-Champaign,Specialization,3 - 6 Months,4.6,117,Beginner,https://www.coursera.org/specializations/digital-marketing,3680.0
212,Digital Marketing Strategy and Planning,Digital Marketing Institute,Specialization,1 - 3 Months,4.5,206,Beginner,https://www.coursera.org/specializations/digital-marketing-strategy-planning,6933.0
213,Digital Product Management,University of Virginia,Specialization,3 - 6 Months,4.6,6.5k,Beginner,https://www.coursera.org/specializations/uva-darden-digital-product-management,33032.0
214,Digital Product Management Modern Fundamentals,University of Virginia,Course,1 - 4 Weeks,4.7,22.3k,Beginner,https://www.coursera.org/learn/uva-darden-digital-product-management,44260.0
215,Digital Signal Processing,Ecole Polytechnique Federale de Lausanne,Specialization,3 - 6 Months,4.6,341,Intermediate,https://www.coursera.org/specializations/digital-signal-processing,15919.0
216,Digital Technologies and the Future of Manufacturing,University of Michigan,Specialization,1 - 3 Months,4.7,9.1k,Beginner,https://www.coursera.org/specializations/digital-technologies-future-of-manufacturing,55794.0
217,Digital Transformation Using AIML with Google Cloud,Google Cloud,Specialization,3 - 6 Months,4.7,5k,Beginner,https://www.coursera.org/specializations/digital-transformation-using-ai-ml-with-google-cloud,179980.0
218,Dino 101 Dinosaur Paleobiology,University of Alberta,Course,1 - 3 Months,4.6,194,Beginner,https://www.coursera.org/learn/dino101,5172.0
219,Diseno Instruccional Aprendizaje activo y Pedagogia digital,Tecnologico de Monterrey,Specialization,3 - 6 Months,4.7,6.2k,Beginner,https://www.coursera.org/specializations/diseno-instruccional,7144.0
220,Diseno de Experiencia del Usuario (UX) de Google,Google,Professional Certificate,3 - 6 Months,4.6,379,Beginner,https://www.coursera.org/professional-certificates/diseno-de-experiencia-del-usuario-ux-de-google,6420.0
221,"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",Stanford University,Course,1 - 4 Weeks,4.8,3.1k,Intermediate,https://www.coursera.org/learn/algorithms-divide-conquer,46980.0
222,Django for Everybody,University of Michigan,Specialization,3 - 6 Months,4.7,904,Intermediate,https://www.coursera.org/specializations/django,50277.0
223,Dog Emotion and Cognition,Duke University,Course,1 - 3 Months,4.9,8,Mixed,https://www.coursera.org/learn/dog-emotion-and-cognition,47565.0
224,Drug Development Product Management,University of California San Diego,Specialization,3 - 6 Months,4.7,2.3k,Beginner,https://www.coursera.org/specializations/drug-development-product-management,70023.0
225,Drug Discovery,University of California San Diego,Course,1 - 3 Months,4.7,4.5k,Beginner,https://www.coursera.org/learn/drug-discovery,206064.0
226,Dynamic Public Speaking,University of Washington,Specialization,3 - 6 Months,4.8,1.2k,Beginner,https://www.coursera.org/specializations/public-speaking,41963.0
227,"Effective Communication Writing, Design, and Presentation",University of Colorado Boulder,Specialization,3 - 6 Months,4.7,2.4k,Beginner,https://www.coursera.org/specializations/effective-business-communication,71730.0
228,Electronic Music Production,Berklee,Specialization,3 - 6 Months,4.6,514,Intermediate,https://www.coursera.org/specializations/electronic-music-production,18607.0
229,Embedding Sensors and Motors,University of Colorado Boulder,Specialization,3 - 6 Months,4.9,1.5k,Intermediate,https://www.coursera.org/specializations/embedding-sensors-motors,157815.0
230,Emotional Intelligence Cultivating Immensely Human Interactions,University of Michigan,Course,1 - 4 Weeks,4.8,10.9k,Intermediate,https://www.coursera.org/learn/emotional-intelligence-cultivating-immensely-human-interactions,96049.0
231,Engineering Project Management,Rice University,Specialization,3 - 6 Months,4.8,2.2k,Beginner,https://www.coursera.org/specializations/engineering-project-management,15969.0
232,English for Business and Entrepreneurship,University of Pennsylvania,Course,1 - 3 Months,4.6,2.6k,Beginner,https://www.coursera.org/learn/business,27517.0
233,English for Career Development,University of Pennsylvania,Course,1 - 3 Months,4.7,232,Mixed,https://www.coursera.org/learn/careerdevelopment,41808.0
234,English for Journalism,University of Pennsylvania,Course,1 - 3 Months,4.7,10.3k,Mixed,https://www.coursera.org/learn/journalism,50619.0
235,Entrepreneurial Finance Strategy and Innovation,Duke University,Specialization,3 - 6 Months,4.7,4.2k,Intermediate,https://www.coursera.org/specializations/entrepreneurial-finance,55842.0
236,Entrepreneurship,University of Pennsylvania,Specialization,3 - 6 Months,4.8,4.6k,Beginner,https://www.coursera.org/specializations/wharton-entrepreneurship,461650.0
237,Entrepreneurship 1 Developing the Opportunity,University of Pennsylvania,Course,1 - 3 Months,4.8,14.6k,Mixed,https://www.coursera.org/learn/wharton-entrepreneurship-opportunity,2248113.0
238,Entrepreneurship Growing Your Business,University of Virginia,Specialization,3 - 6 Months,4.5,1.3k,Beginner,https://www.coursera.org/specializations/entrepreneurship-growing-your-business,25965.0
239,Epidemiology in Public Health Practice,Johns Hopkins University,Specialization,3 - 6 Months,4.8,5.3k,Beginner,https://www.coursera.org/specializations/professional-epidemiology,59402.0
240,Essentials in Clinical Simulations Across the Health Professions,The George Washington University,Course,1 - 3 Months,4.8,873,Intermediate,https://www.coursera.org/learn/clinicalsimulations,46526.0
241,Ethical Leadership,The University of Notre Dame,Specialization,3 - 6 Months,4.7,4.2k,Beginner,https://www.coursera.org/specializations/ethical-leadership,40370.0
242,European Business Law,Lund University,Specialization,3 - 6 Months,4.8,967,Beginner,https://www.coursera.org/specializations/european-business-law,18683.0
243,Everyday Excel,University of Colorado Boulder,Specialization,3 - 6 Months,4.8,50,Beginner,https://www.coursera.org/specializations/everyday-excel,1586.0
244,"Everyday Excel, Part 1",University of Colorado Boulder,Course,1 - 3 Months,4.7,701,Beginner,https://www.coursera.org/learn/everyday-excel-part-1,26909.0
245,Exam Prep MLS-C01 AWS Certified Specialty Machine Learning,Whizlabs,Specialization,1 - 3 Months,4.5,170,Beginner,https://www.coursera.org/specializations/exam-prep-mls-c01-aws-certified-machine-learning-specialty,10246.0
246,Excel Basics for Data Analysis,IBM,Course,1 - 3 Months,4.7,3.6k,Beginner,https://www.coursera.org/learn/excel-basics-data-analysis-ibm,57089.0
247,Excel Fundamentals for Data Analysis,Macquarie University,Course,1 - 3 Months,4.7,3.2k,Intermediate,https://www.coursera.org/learn/excel-data-analysis-fundamentals,236143.0
248,Excel Skills for Business,Macquarie University,Specialization,3 - 6 Months,4.9,2.8k,Beginner,https://www.coursera.org/specializations/excel,203729.0
249,Excel Skills for Business Essentials,Macquarie University,Course,1 - 3 Months,2.8,6,Beginner,https://www.coursera.org/learn/excel-essentials,47565.0
250,Excel Skills for Business Intermediate I,Macquarie University,Course,1 - 3 Months,4.8,6.6k,Intermediate,https://www.coursera.org/learn/excel-intermediate-1,246896.0
251,Excel Skills for Data Analytics and Visualization,Macquarie University,Specialization,3 - 6 Months,4.8,3.5k,Intermediate,https://www.coursera.org/specializations/excel-data-analytics-visualization,145303.0
252,Excel to MySQL Analytic Techniques for Business,Duke University,Specialization,3 - 6 Months,4.9,16.5k,Beginner,https://www.coursera.org/specializations/excel-mysql,320976.0
253,ExcelVBA for Creative Problem Solving,University of Colorado Boulder,Specialization,3 - 6 Months,4.8,4.7k,Beginner,https://www.coursera.org/specializations/excel-vba-creative-problem-solving,72468.0
254,Executive Data Science,Johns Hopkins University,Specialization,1 - 3 Months,4.6,55,Beginner,https://www.coursera.org/specializations/executive-data-science,4486.0
255,Exploratory Data Analysis for Machine Learning,IBM,Course,1 - 3 Months,4.6,52,Intermediate,https://www.coursera.org/learn/ibm-exploratory-data-analysis-for-machine-learning,8117.0
256,Expressway to Data Science Essential Math,University of Colorado Boulder,Specialization,3 - 6 Months,4.6,15.1k,Intermediate,https://www.coursera.org/specializations/expressway-to-data-science-essential-math,214073.0
257,Expressway to Data Science Python Programming,University of Colorado Boulder,Specialization,1 - 3 Months,4.8,4.5k,Beginner,https://www.coursera.org/specializations/python-programming-data-science,64800.0
258,Extended Reality for Everybody,University of Michigan,Specialization,1 - 3 Months,4.6,1.4k,Beginner,https://www.coursera.org/specializations/extended-reality-for-everybody,75014.0
259,"Extract, Transform and Load Data in Power BI",Microsoft,Course,1 - 4 Weeks,4.5,300,Beginner,https://www.coursera.org/learn/extract-transform-and-load-data-in-power-bi,6334.0
260,FPGA Design for Embedded Systems,University of Colorado Boulder,Specialization,3 - 6 Months,4.6,416,Intermediate,https://www.coursera.org/specializations/fpga-design,12049.0
261,Finance Quantitative Modeling for Analysts,University of Pennsylvania,Specialization,3 - 6 Months,4.9,597,Beginner,https://www.coursera.org/specializations/finance-quantitative-modeling-analysts,29968.0
262,Finance for Non-Finance Professionals,Rice University,Course,1 - 3 Months,4.6,2.3k,Beginner,https://www.coursera.org/learn/finance-for-non-finance,49957.0
263,Finance for Non-Financial Managers,Emory University,Course,1 - 3 Months,4.5,15.6k,Intermediate,https://www.coursera.org/learn/finance-for-non-financial-managers,33173.0
264,Finance for Technical Managers,University of Colorado Boulder,Specialization,3 - 6 Months,4.8,2.6k,Beginner,https://www.coursera.org/specializations/finance-for-technical-managers,165806.0
265,Financial Accounting Fundamentals,University of Virginia,Course,1 - 3 Months,4.4,384,Beginner,https://www.coursera.org/learn/uva-darden-financial-accounting,26520.0
266,Financial Analysis - Skills for Success,University of Illinois at Urbana-Champaign,Specialization,1 - 3 Months,4.8,2.5k,Beginner,https://www.coursera.org/specializations/financial-analysis-skills-for-success,140351.0
267,Financial Engineering and Risk Management,Columbia University,Specialization,3 - 6 Months,4.5,884,Intermediate,https://www.coursera.org/specializations/financialengineering,33709.0
268,Financial Management,University of Illinois at Urbana-Champaign,Specialization,3 - 6 Months,4.7,152,Intermediate,https://www.coursera.org/specializations/financial-management,7075.0
269,Financial Markets,Yale University,Course,1 - 3 Months,4.5,202,Beginner,https://www.coursera.org/learn/financial-markets-global,17578.0
270,Financial Planning for Young Adults,University of Illinois at Urbana-Champaign,Course,1 - 3 Months,4.7,6.4k,Beginner,https://www.coursera.org/learn/financial-planning,72898.0
271,Financial Reporting,University of Illinois at Urbana-Champaign,Specialization,3 - 6 Months,4.8,26k,Intermediate,https://www.coursera.org/specializations/financial-reporting,1713399.0
272,Financial Technology (Fintech) Innovations,University of Michigan,Specialization,3 - 6 Months,4.6,1.3k,Beginner,https://www.coursera.org/specializations/financialtechnology,136571.0
273,Financing and Investing in Infrastructure,Universita Bocconi,Course,1 - 3 Months,4.7,787,Mixed,https://www.coursera.org/learn/infrastructure-investing,17743.0
274,Finanzas corporativas,Universidad Nacional Autonoma de Mexico,Specialization,3 - 6 Months,4.7,2.4k,Intermediate,https://www.coursera.org/specializations/finanzascorporativas,29088.0
275,Finding Purpose and Meaning In Life Living for What Matters Most,University of Michigan,Course,1 - 4 Weeks,4.8,1.9k,Beginner,https://www.coursera.org/learn/finding-purpose-and-meaning-in-life,52576.0
276,Finding Your Professional Voice Confidence Impact,University of London,Course,1 - 4 Weeks,4.8,2.2k,Beginner,https://www.coursera.org/learn/finding-your-professional-voice,213625.0
277,Fintech Foundations Applications of Financial Technology,University of Pennsylvania,Specialization,3 - 6 Months,4.8,219,Beginner,https://www.coursera.org/specializations/wharton-fintech,38838.0
278,First Principles of Computer Vision,Columbia University,Specialization,3 - 6 Months,4.6,3.4k,Beginner,https://www.coursera.org/specializations/firstprinciplesofcomputervision,41644.0
279,First Step Korean,Yonsei University,Course,1 - 3 Months,4.7,143,Beginner,https://www.coursera.org/learn/learn-korean,6364.0
280,Fondamentaux de la cybersecurite,Google,Course,1 - 4 Weeks,4.9,48.5k,Beginner,https://www.coursera.org/learn/fondamentaux-de-la-cybersecurite,1443574.0
281,Food Beverage Management,Universita Bocconi,Course,1 - 3 Months,4.7,18,Mixed,https://www.coursera.org/learn/food-beverage-management,47565.0
282,"Food Sustainability, Mindful Eating, and Healthy Cooking",Stanford University,Specialization,1 - 3 Months,4.8,4.3k,Beginner,https://www.coursera.org/specializations/food-sustainability-mindful-eating-healthy-cooking,137227.0
283,Forensic Accounting and Fraud Examination,West Virginia University,Course,1 - 3 Months,4.8,419,Mixed,https://www.coursera.org/learn/forensic-accounting,6402.0
284,Foundational Finance for Strategic Decision Making,University of Michigan,Specialization,3 - 6 Months,4.8,357,Beginner,https://www.coursera.org/specializations/foundational-finance,13365.0
285,Foundations of Business Intelligence,Google,Course,1 - 4 Weeks,4.8,356,Advanced,https://www.coursera.org/learn/foundations-of-business-intelligence,17984.0
286,Foundations of Business Strategy,University of Virginia,Course,1 - 4 Weeks,4.8,636,Beginner,https://www.coursera.org/learn/uva-darden-foundations-business-strategy,53120.0
287,Foundations of Cybersecurity,Google,Course,1 - 4 Weeks,4.8,2.9k,Beginner,https://www.coursera.org/learn/foundations-of-cybersecurity,132355.0
288,Foundations of Data Science,Google,Course,1 - 3 Months,4.9,11k,Advanced,https://www.coursera.org/learn/foundations-of-data-science,364927.0
289,Foundations of Data Structures and Algorithms,University of Colorado Boulder,Specialization,3 - 6 Months,4.7,1.2k,Advanced,https://www.coursera.org/specializations/boulder-data-structures-algorithms,75444.0
290,Foundations of Digital Marketing and E-commerce,Google,Course,1 - 4 Weeks,4.6,363,Beginner,https://www.coursera.org/learn/foundations-of-digital-marketing-and-e-commerce,2930.0
291,Foundations of Management,IESE Business School,Specialization,3 - 6 Months,4.8,15.2k,Beginner,https://www.coursera.org/specializations/foundations-management,645611.0
292,Foundations of Positive Psychology,University of Pennsylvania,Specialization,3 - 6 Months,4.8,4.6k,Beginner,https://www.coursera.org/specializations/positivepsychology,31755.0
293,Foundations of Project Management,Google,Course,1 - 4 Weeks,4.8,7.4k,Beginner,https://www.coursera.org/learn/project-management-foundations,63204.0
294,Foundations of Software Testing and Validation,University of Leeds,Course,1 - 4 Weeks,4.8,511,Beginner,https://www.coursera.org/learn/foundations-of-software-testing-and-validation,15685.0
295,Foundations of Teaching for Learning Introduction,Commonwealth Education Trust,Course,1 - 4 Weeks,4.7,56,Mixed,https://www.coursera.org/learn/teaching,3682.0
296,Foundations of User Experience (UX) Design,Google,Course,1 - 4 Weeks,4.6,742,Beginner,https://www.coursera.org/learn/foundations-user-experience-design,63452.0
297,"Foundations Data, Data, Everywhere",Google,Course,1 - 3 Months,4.8,59.9k,Beginner,https://www.coursera.org/learn/foundations-data,1077990.0
298,Fractal Data Science,Fractal Analytics,Professional Certificate,3 - 6 Months,4.8,93.1k,Beginner,https://www.coursera.org/professional-certificates/fractal-data-science,2182786.0
299,From Data to Insights with Google Cloud,Google Cloud,Specialization,3 - 6 Months,4.8,6,Beginner,https://www.coursera.org/specializations/from-data-to-insights-google-cloud-platform,47565.0
300,From Excel to Power BI,Knowledge Accelerators,Course,1 - 4 Weeks,4.6,4.6k,Beginner,https://www.coursera.org/learn/from-excel-to-power-bi,45829.0
301,From Likes to Leads Interact with Customers Online,Google,Course,1 - 3 Months,4.4,131,Beginner,https://www.coursera.org/learn/from-likes-to-leads,27553.0
302,Functional Programming in Scala,Ecole Polytechnique Federale de Lausanne,Specialization,3 - 6 Months,4.8,2.1k,Intermediate,https://www.coursera.org/specializations/scala,116552.0
303,Fundamentals of Accounting,University of Illinois at Urbana-Champaign,Specialization,3 - 6 Months,4.7,10.6k,Beginner,https://www.coursera.org/specializations/accounting-fundamentals,70385.0
304,Fundamentals of Computing,Rice University,Specialization,3 - 6 Months,4.7,1.9k,Beginner,https://www.coursera.org/specializations/computer-fundamentals,27875.0
305,Fundamentals of Flight mechanics,ISAE-SUPAERO,Specialization,3 - 6 Months,3.9,817,Beginner,https://www.coursera.org/specializations/flight-mechanics-fundamentals,82288.0
306,Fundamentals of GIS,"University of California, Davis",Course,1 - 4 Weeks,4.7,341,Beginner,https://www.coursera.org/learn/gis,4896.0
307,Fundamentals of Graphic Design,California Institute of the Arts,Course,1 - 3 Months,4.8,5.4k,Beginner,https://www.coursera.org/learn/fundamentals-of-graphic-design,156015.0
308,Fundamentals of Music Theory,The University of Edinburgh,Course,1 - 3 Months,4.8,347,Beginner,https://www.coursera.org/learn/edinburgh-music-theory,18504.0
309,Fundamentals of Project Planning and Management,University of Virginia,Course,1 - 4 Weeks,4.5,1.7k,Beginner,https://www.coursera.org/learn/uva-darden-project-management,334604.0
310,Fundamentals of Quantitative Modeling,University of Pennsylvania,Course,1 - 4 Weeks,4.7,9.2k,Mixed,https://www.coursera.org/learn/wharton-quantitative-modeling,312961.0
311,Fundamentals of Reinforcement Learning,University of Alberta,Course,1 - 3 Months,4.6,8.6k,Intermediate,https://www.coursera.org/learn/fundamentals-of-reinforcement-learning,206775.0
312,Fundamentals of Social Media Advertising,Meta,Course,1 - 3 Months,4.8,2.7k,Beginner,https://www.coursera.org/learn/social-media-advertising-fundamentals,81488.0
313,Fundamentals of Technology Sales,"University of Maryland, College Park",Course,1 - 3 Months,4.8,2.1k,Beginner,https://www.coursera.org/learn/fundamentals-of-technology-sales,80997.0
314,Fundamentos de la ciberseguridad,Google,Course,1 - 4 Weeks,4.6,65,Beginner,https://www.coursera.org/learn/fundamentos-de-la-ciberseguridad,5831.0
315,Fundamentos de la gestion de proyectos,Google,Course,1 - 4 Weeks,4.9,677,Beginner,https://www.coursera.org/learn/fundamentos-de-la-gestion-de-proyectos,11297.0
316,Fundamentos del marketing digital y comercio electronico,Google,Course,1 - 4 Weeks,4.9,4.6k,Beginner,https://www.coursera.org/learn/fundamentos-del-marketing-digital-y-comercio-electronico,74386.0
317,Futures Thinking,Institute for the Future,Specialization,3 - 6 Months,4.6,308,Beginner,https://www.coursera.org/specializations/futures-thinking,12011.0
318,"GIS, Mapping, and Spatial Analysis",University of Toronto,Specialization,3 - 6 Months,4.8,1.6k,Beginner,https://www.coursera.org/specializations/gis-mapping-spatial-analysis,23162.0
319,GPU Programming,Johns Hopkins University,Specialization,3 - 6 Months,4.9,2.7k,Intermediate,https://www.coursera.org/specializations/gpu-programming,43857.0
320,Game Design and Development with Unity 2020,Michigan State University,Specialization,3 - 6 Months,2.7,65,Beginner,https://www.coursera.org/specializations/game-design-and-development,4234.0
321,Game Design Art and Concepts,California Institute of the Arts,Specialization,3 - 6 Months,4.7,508,Beginner,https://www.coursera.org/specializations/game-design,16335.0
322,Game Theory,Stanford University,Course,1 - 3 Months,4.7,3.8k,Beginner,https://www.coursera.org/learn/game-theory-1,42313.0
323,Gamification,University of Pennsylvania,Course,1 - 3 Months,4.6,4.5k,Mixed,https://www.coursera.org/learn/gamification,483528.0
324,Generative AI Primer,Vanderbilt University,Course,1 - 4 Weeks,4.8,2.4k,Beginner,https://www.coursera.org/learn/generative-ai,151571.0
325,Generative AI for Everyone,DeepLearning.AI,Course,1 - 4 Weeks,4.6,19,Beginner,https://www.coursera.org/learn/generative-ai-for-everyone,2202.0
326,Generative AI with Large Language Models,DeepLearning.AI,Course,1 - 4 Weeks,5.0,29,Intermediate,https://www.coursera.org/learn/generative-ai-with-llms,38552.0
327,Generative Adversarial Networks (GANs),DeepLearning.AI,Specialization,1 - 3 Months,4.8,1.2k,Intermediate,https://www.coursera.org/specializations/generative-adversarial-networks-gans,132760.0
328,Genomic Data Science,Johns Hopkins University,Specialization,3 - 6 Months,4.7,2.1k,Intermediate,https://www.coursera.org/specializations/genomic-data-science,36982.0
329,Gestion de projet de Google,Google,Professional Certificate,3 - 6 Months,4.8,5.8k,Beginner,https://www.coursera.org/professional-certificates/gestion-de-projet-de-google,47565.0
330,Gestion de Proyectos de Google,Google,Professional Certificate,3 - 6 Months,4.5,19,Beginner,https://www.coursera.org/professional-certificates/gestion-de-proyectos-de-google,47565.0
331,Get Started with Python,Google,Course,1 - 3 Months,4.9,5.8k,Advanced,https://www.coursera.org/learn/get-started-with-python,65379.0
332,Getting Started with AI using IBM Watson,IBM,Course,1 - 4 Weeks,4.8,609,Beginner,https://www.coursera.org/learn/ai-with-ibm-watson,42699.0
333,Getting Started with Git and GitHub,IBM,Course,1 - 4 Weeks,4.5,2.8k,Beginner,https://www.coursera.org/learn/getting-started-with-git-and-github,52966.0
334,Getting Started with SAS Programming,SAS,Course,1 - 3 Months,4.7,3.5k,Beginner,https://www.coursera.org/learn/sas-programming-basics,91929.0
335,Giving Helpful Feedback,University of Colorado Boulder,Course,1 - 3 Months,4.7,1.3k,Beginner,https://www.coursera.org/learn/feedback,3725.0
336,Global Diplomacy Diplomacy in the Modern World,University of London,Course,1 - 3 Months,4.8,1.7k,Mixed,https://www.coursera.org/learn/global-diplomacy,47240.0
337,Global Procurement and Sourcing,Rutgers the State University of New Jersey,Specialization,3 - 6 Months,4.7,1.5k,Beginner,https://www.coursera.org/specializations/procurement-sourcing,76360.0
338,Go Beyond the Numbers Translate Data into Insights,Google,Course,1 - 3 Months,4.7,1.8k,Advanced,https://www.coursera.org/learn/go-beyond-the-numbers-translate-data-into-insight,23479.0
339,Good with Words Writing and Editing,University of Michigan,Specialization,3 - 6 Months,4.7,297,Beginner,https://www.coursera.org/specializations/good-with-words,24438.0
340,Goodwill Career Coach and Navigator,Goodwill Industries International,Professional Certificate,3 - 6 Months,4.7,2.2k,Beginner,https://www.coursera.org/professional-certificates/goodwill-career-coach-and-navigator,62339.0
341,Google Advanced Data Analytics,Google,Professional Certificate,3 - 6 Months,4.7,102,Advanced,https://www.coursera.org/professional-certificates/google-advanced-data-analytics,5764.0
342,Google Business Intelligence,Google,Professional Certificate,3 - 6 Months,4.7,2.1k,Advanced,https://www.coursera.org/professional-certificates/google-business-intelligence,54602.0
343,Google Cloud Big Data and Machine Learning Fundamentals,Google Cloud,Course,1 - 3 Months,4.7,879,Beginner,https://www.coursera.org/learn/gcp-big-data-ml-fundamentals,37959.0
344,Google Cloud Fundamentals Core Infrastructure,Google Cloud,Course,1 - 3 Months,4.7,3.6k,Beginner,https://www.coursera.org/learn/gcp-fundamentals,40408.0
345,Google Cybersecurity,Google,Professional Certificate,3 - 6 Months,4.7,47.3k,Beginner,https://www.coursera.org/professional-certificates/google-cybersecurity,700909.0
346,Google Data Analytics,Google,Professional Certificate,3 - 6 Months,4.8,15.2k,Beginner,https://www.coursera.org/professional-certificates/google-data-analytics,229865.0
347,Google Data Analytics,Google,Professional Certificate,3 - 6 Months,4.8,132k,Beginner,https://www.coursera.org/professional-certificates/analytique-des-donnees-google,1847607.0
