Hours_Studied,Attendance,Previous_Scores,Sleep_Hours,Tutoring_Sessions,Physical_Activity,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Motivation_Level,Internet_Access,Family_Income,Peer_Influence,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,GROUP,GROUP_LABEL,Exam_Score
13,68,66,8,0,4,0,0,1,1,1,1,1,1,1,2,1,0,Yếu,59
20,97,94,7,1,1,2,1,1,2,1,1,0,0,1,1,1,3,Giỏi,72
15,61,54,6,0,2,1,2,1,1,1,2,1,0,2,2,1,0,Yếu,63
21,78,72,4,1,4,1,1,0,1,1,1,1,0,2,2,1,2,Khá,68
11,61,98,9,0,2,1,1,1,2,1,1,0,0,0,1,1,0,Yếu,61
22,79,75,7,1,3,0,1,0,0,1,0,1,0,0,2,0,0,Yếu,65
25,80,57,9,2,3,1,1,1,0,1,0,2,0,0,1,0,2,Khá,68
8,73,65,6,1,4,0,1,1,2,1,0,1,0,1,1,1,0,Yếu,61
22,65,81,10,1,3,0,0,1,1,1,0,1,0,2,2,1,0,Yếu,63
27,75,51,7,1,2,1,1,1,2,1,1,0,0,2,2,1,1,Trung bình,67
13,87,98,6,0,3,0,1,1,0,1,2,2,1,2,1,1,1,Trung bình,66
30,91,78,7,3,2,1,1,1,2,1,1,2,0,2,2,1,3,Giỏi,75
23,81,85,7,0,4,1,1,0,0,1,1,2,0,0,2,1,2,Khá,68
16,84,75,7,2,3,0,1,0,2,1,1,0,0,0,2,0,0,Yếu,65
20,68,98,6,0,4,0,1,0,2,1,0,0,0,0,2,0,0,Yếu,64
23,71,79,4,2,3,2,1,1,1,0,0,2,0,0,2,1,1,Trung bình,67
20,66,83,6,2,3,0,1,1,1,1,0,1,0,1,2,1,0,Yếu,64
23,70,93,9,0,2,1,2,1,1,1,0,1,1,2,1,0,1,Trung bình,67
14,69,93,6,2,0,1,2,1,0,0,0,1,0,0,2,1,0,Yếu,63
21,81,51,4,0,2,2,1,1,1,1,1,2,0,1,1,0,1,Trung bình,67
12,83,64,5,1,2,2,0,1,1,1,2,0,0,2,2,0,0,Yếu,65
19,98,62,7,1,2,2,0,1,2,1,0,1,0,0,2,0,3,Giỏi,70
15,68,50,6,2,3,1,1,1,2,1,2,1,0,0,1,1,0,Yếu,62
16,86,94,7,2,3,2,1,1,1,1,0,1,0,0,1,0,2,Khá,69
27,93,66,6,2,3,1,0,1,1,1,1,0,0,1,1,0,3,Giỏi,70
27,82,67,9,1,2,1,1,1,0,1,0,1,0,0,1,1,2,Khá,68
24,70,55,8,4,4,1,2,0,1,1,0,2,0,2,1,0,2,Khá,68
13,71,99,10,0,3,1,1,1,1,1,0,1,0,2,2,1,0,Yếu,64
18,62,91,6,4,1,0,2,1,2,0,0,1,0,0,1,1,0,Yếu,63
27,72,79,7,2,2,0,0,1,1,1,2,2,0,2,1,0,2,Khá,68
21,90,89,9,1,2,2,0,1,0,1,0,1,0,0,0,0,1,Trung bình,67
34,62,89,8,3,4,2,0,0,0,1,0,1,0,1,1,0,2,Khá,68
22,69,83,6,1,2,1,2,1,1,1,0,2,0,1,1,0,1,Trung bình,66
21,88,59,8,2,1,1,1,1,0,0,1,0,0,2,2,1,1,Trung bình,67
18,91,86,8,1,4,2,1,0,2,1,1,1,1,0,1,1,2,Khá,69
21,78,78,4,2,3,2,1,1,1,1,2,0,0,0,0,1,2,Khá,68
19,88,86,6,4,3,1,2,0,1,1,1,2,1,1,1,1,3,Giỏi,70
24,76,77,7,3,4,1,1,0,1,1,1,0,0,2,1,0,2,Khá,68
26,66,98,9,2,2,0,1,1,1,1,0,1,0,1,2,1,1,Trung bình,66
15,76,81,8,2,4,1,2,1,1,1,0,1,0,2,1,0,1,Trung bình,67
12,83,79,6,1,4,1,1,0,1,1,2,1,0,0,1,0,0,Yếu,65
9,98,92,6,0,5,1,1,0,1,1,1,1,0,0,1,1,1,Trung bình,67
23,63,69,8,2,4,1,1,0,2,1,1,0,1,0,2,1,0,Yếu,63
13,80,66,4,2,2,0,2,1,2,1,0,0,0,0,1,0,0,Yếu,64
7,73,75,6,3,3,2,1,1,1,1,0,1,0,1,2,0,0,Yếu,64
22,80,79,9,0,3,0,0,0,2,1,1,1,0,1,1,0,1,Trung bình,66
35,61,61,7,2,4,1,2,1,0,1,1,2,1,0,2,1,2,Khá,68
20,73,84,6,0,3,2,1,1,2,1,1,2,0,0,1,1,1,Trung bình,67
25,93,90,5,1,2,1,2,0,0,1,1,2,0,1,2,1,3,Giỏi,72
20,82,79,8,1,4,1,1,1,0,1,0,2,0,0,2,1,1,Trung bình,67
19,78,76,7,2,3,1,1,0,2,1,1,1,0,1,1,0,1,Trung bình,66
26,71,65,7,1,3,2,0,0,1,1,0,2,0,1,2,0,1,Trung bình,66
18,72,95,8,1,4,2,2,1,1,1,1,0,0,0,1,1,1,Trung bình,67
22,75,88,7,0,3,1,1,0,0,1,0,1,0,2,0,1,0,Yếu,65
22,93,74,7,2,3,2,1,0,0,1,1,0,0,1,0,1,3,Giỏi,70
16,99,83,5,0,4,0,1,1,0,1,0,1,0,2,2,0,2,Khá,69
26,78,67,5,1,3,2,2,1,0,1,2,0,0,0,1,1,2,Khá,69
19,76,53,8,1,4,2,1,1,1,1,1,0,0,1,2,0,1,Trung bình,66
15,94,60,8,2,4,1,0,0,1,1,1,1,0,0,0,1,1,Trung bình,66
23,77,54,8,1,3,2,2,1,1,1,0,0,0,1,1,0,1,Trung bình,67
15,82,75,6,1,3,1,2,1,1,1,1,2,0,0,2,1,1,Trung bình,67
20,69,81,8,2,4,1,1,1,2,1,1,2,0,0,2,1,1,Trung bình,67
20,90,69,6,2,3,2,2,1,1,1,2,1,0,0,2,0,3,Giỏi,72
27,81,77,9,1,4,1,0,1,0,1,1,1,0,1,1,0,2,Khá,68
23,92,54,6,3,2,1,0,1,2,1,1,2,1,2,2,1,3,Giỏi,70
20,91,88,6,1,4,1,1,1,1,1,0,2,0,0,1,1,2,Khá,69
25,69,52,7,1,4,2,0,1,2,1,0,2,0,0,1,1,0,Yếu,65
28,89,82,8,0,3,2,2,0,1,1,1,0,0,2,0,1,3,Giỏi,72
23,92,72,7,0,4,1,2,0,1,1,0,1,0,1,0,0,2,Khá,69
20,74,59,7,5,4,1,1,1,0,1,2,2,0,0,2,0,2,Khá,68
12,67,76,6,1,2,2,2,0,2,1,0,0,0,0,1,1,0,Yếu,62
14,60,89,7,2,3,1,0,1,0,1,1,1,0,0,1,1,0,Yếu,60
18,78,71,7,3,4,2,1,1,0,1,1,1,0,0,1,1,1,Trung bình,67
16,74,68,6,2,4,2,2,1,0,1,1,1,0,1,2,1,1,Trung bình,67
19,82,57,7,1,3,1,2,1,1,1,1,1,0,0,2,1,1,Trung bình,67
20,68,80,7,0,4,1,1,1,0,1,0,1,0,0,2,0,0,Yếu,63
23,94,91,10,1,3,1,0,1,2,1,1,1,0,0,2,1,3,Giỏi,71
20,70,78,6,0,2,1,1,1,2,1,1,2,0,1,2,0,1,Trung bình,66
23,69,58,6,0,1,1,1,1,2,1,1,1,0,2,2,0,0,Yếu,65
20,79,83,7,2,2,2,1,1,2,1,1,2,0,0,1,0,2,Khá,69
8,80,52,6,2,1,2,0,0,2,1,1,2,0,0,2,0,0,Yếu,63
14,69,92,5,3,2,1,1,1,2,1,0,0,0,2,1,0,0,Yếu,64
19,71,96,5,2,0,2,2,0,2,1,0,1,1,1,2,0,1,Trung bình,67
13,67,80,6,1,2,1,1,1,2,1,0,0,0,0,1,1,0,Yếu,62
24,89,94,6,2,2,1,0,1,0,1,1,1,0,0,0,1,2,Khá,68
29,91,54,5,2,3,1,2,0,0,1,0,1,0,2,1,1,3,Giỏi,71
27,78,61,7,1,3,2,1,0,1,0,0,0,0,0,1,0,1,Trung bình,66
19,89,66,4,1,1,1,2,1,0,1,0,2,0,2,2,0,2,Khá,69
29,89,89,8,1,4,1,0,1,0,1,1,1,0,0,1,1,3,Giỏi,71
21,66,74,6,2,4,1,1,1,1,1,1,1,0,0,2,0,1,Trung bình,66
18,99,67,6,5,3,1,1,0,1,1,0,2,0,2,2,0,3,Giỏi,72
16,93,58,8,1,4,1,1,1,1,1,2,2,0,1,2,0,3,Giỏi,70
18,68,91,8,1,3,0,1,0,2,1,0,1,0,2,2,0,0,Yếu,65
18,67,51,6,0,2,2,1,0,1,1,1,2,0,1,2,0,0,Yếu,64
21,65,67,8,1,2,1,1,1,1,1,0,2,0,1,1,1,0,Yếu,63
21,66,62,9,3,2,1,1,0,0,0,1,2,0,0,2,1,0,Yếu,63
20,90,56,5,3,2,0,1,0,1,0,1,2,0,0,1,1,1,Trung bình,66
23,79,59,8,1,4,2,2,1,0,1,0,0,0,1,1,1,2,Khá,68
27,91,75,5,1,4,1,2,1,0,1,2,1,0,1,2,1,3,Giỏi,74
26,90,71,9,0,2,2,2,0,0,1,2,0,0,1,2,0,3,Giỏi,71
11,84,76,6,3,3,2,1,1,2,1,0,0,0,0,1,0,1,Trung bình,67
5,87,86,6,2,3,2,0,0,1,1,1,2,0,2,2,0,1,Trung bình,66
26,61,95,9,0,6,2,1,1,1,1,1,0,0,1,2,1,1,Trung bình,67
12,72,56,8,3,1,0,2,1,2,1,0,2,1,0,1,1,0,Yếu,62
19,86,54,6,1,5,1,0,0,0,1,2,2,0,2,2,1,2,Khá,68
13,60,66,7,2,3,1,1,1,1,1,0,2,0,2,2,1,0,Yếu,62
9,61,77,6,1,2,2,1,1,0,0,2,1,0,0,2,1,3,Giỏi,82
23,94,55,5,2,2,2,1,0,2,1,1,2,1,0,2,1,3,Giỏi,70
25,87,86,7,4,2,2,1,0,1,1,1,0,0,1,2,1,3,Giỏi,72
17,71,78,6,0,4,0,2,1,0,1,1,2,0,1,2,0,0,Yếu,64
4,88,87,6,1,4,1,2,0,0,1,1,1,0,1,2,1,1,Trung bình,66
17,92,68,9,0,3,1,1,1,2,1,1,2,0,1,2,0,2,Khá,68
22,72,70,6,1,3,0,1,0,0,1,2,1,0,2,0,1,0,Yếu,64
11,61,90,7,0,3,0,1,1,2,1,1,1,0,0,2,0,0,Yếu,61
21,97,63,9,0,1,1,1,1,1,1,1,2,0,0,1,1,2,Khá,69
20,74,69,7,2,2,2,2,0,0,1,2,1,0,1,2,1,2,Khá,68
23,64,51,6,1,5,1,1,0,1,1,1,2,0,1,2,1,0,Yếu,64
21,80,78,7,1,4,1,2,0,1,1,0,0,0,0,1,0,1,Trung bình,67
14,91,93,8,0,3,1,1,1,1,1,1,1,0,0,1,1,1,Trung bình,67
27,69,51,8,1,2,1,1,0,1,1,2,0,0,0,2,1,0,Yếu,65
19,71,81,10,2,3,2,1,1,1,1,1,2,0,0,2,0,2,Khá,68
20,70,92,6,2,3,1,2,1,1,1,1,2,0,0,2,1,1,Trung bình,67
14,100,75,7,1,3,0,1,0,0,1,0,2,0,2,1,1,1,Trung bình,67
17,68,66,5,1,4,1,2,1,1,1,2,0,0,0,2,1,0,Yếu,64
15,83,100,8,0,3,2,2,1,1,1,1,2,0,1,2,0,3,Giỏi,70
19,97,53,7,2,3,1,2,0,1,1,0,1,0,1,1,1,2,Khá,69
30,66,61,7,0,2,1,2,0,0,1,2,2,0,0,0,1,1,Trung bình,66
12,99,94,6,2,3,0,1,0,1,1,1,1,0,2,1,1,2,Khá,69
10,98,65,6,1,2,0,1,1,1,1,0,2,0,0,2,1,1,Trung bình,66
29,95,91,7,1,3,2,1,1,0,1,0,1,0,0,1,0,3,Giỏi,73
19,69,67,6,4,4,1,1,1,1,0,2,2,0,2,1,1,1,Trung bình,66
16,85,91,7,0,2,1,2,1,2,1,1,1,0,2,1,1,2,Khá,69
26,90,84,7,1,3,1,0,1,0,1,1,2,0,0,1,1,3,Giỏi,70
16,99,73,5,1,5,2,1,1,2,1,1,2,1,1,0,1,3,Giỏi,71
31,67,76,5,2,4,0,2,1,1,1,1,2,0,1,2,1,3,Giỏi,70
24,91,59,6,0,4,2,0,1,1,1,0,1,0,0,2,1,2,Khá,69
17,74,56,9,1,3,1,1,0,1,1,1,0,0,0,1,1,0,Yếu,63
33,67,86,6,4,3,2,1,1,1,1,1,2,1,0,2,0,3,Giỏi,71
16,77,92,7,2,2,2,2,0,0,1,1,0,0,1,2,1,1,Trung bình,67
24,92,86,5,3,2,1,1,1,2,1,1,1,0,0,2,0,3,Giỏi,73
22,79,96,6,1,2,0,2,1,1,1,2,1,0,1,1,1,2,Khá,68
28,82,95,5,0,3,0,1,1,1,1,2,1,0,0,2,1,2,Khá,69
29,100,89,8,2,3,2,2,1,1,1,1,1,0,0,1,0,3,Giỏi,76
20,76,95,5,4,3,0,1,1,1,1,0,2,0,0,2,1,2,Khá,68
15,85,58,8,1,3,1,1,0,2,1,0,0,0,1,2,1,0,Yếu,65
23,75,87,8,0,1,1,1,1,0,1,2,2,0,0,2,0,1,Trung bình,66
16,76,88,7,0,2,1,0,0,2,1,0,2,0,2,2,1,0,Yếu,65
32,88,58,8,3,3,0,1,0,0,1,0,0,0,0,1,1,2,Khá,69
21,98,95,10,0,1,2,1,1,1,1,1,1,0,0,2,1,3,Giỏi,71
18,82,50,8,1,3,2,0,1,1,1,2,2,0,0,1,1,1,Trung bình,66
21,91,72,5,3,3,1,2,0,1,1,0,0,1,0,2,0,2,Khá,69
12,64,51,9,2,4,1,1,0,0,0,0,1,0,1,2,1,0,Yếu,59
14,68,76,7,2,3,1,2,0,1,1,2,2,0,0,2,1,0,Yếu,65
27,80,71,10,4,2,2,2,0,2,1,0,1,0,1,2,1,3,Giỏi,72
16,61,81,6,0,2,1,0,1,1,1,1,0,0,1,2,1,0,Yếu,60
14,70,88,9,0,4,1,1,1,0,1,2,2,0,1,1,0,0,Yếu,64
23,81,88,7,1,4,1,1,0,0,1,0,2,0,2,2,1,2,Khá,69
27,61,86,10,3,3,2,2,1,1,1,1,2,0,0,2,0,3,Giỏi,70
24,71,55,7,2,3,1,2,1,0,1,2,2,0,1,0,1,1,Trung bình,67
26,81,71,10,0,5,1,1,0,0,1,1,2,1,0,2,0,1,Trung bình,67
15,83,91,8,0,3,1,0,1,1,1,0,1,0,1,0,1,0,Yếu,64
11,97,83,8,4,2,1,1,1,0,1,1,0,0,0,0,1,2,Khá,68
29,86,84,10,1,4,1,2,0,0,1,0,2,0,0,2,0,3,Giỏi,72
18,77,61,6,1,3,1,2,1,1,1,0,1,0,0,2,0,0,Yếu,65
18,97,66,8,2,2,1,2,0,0,1,1,1,0,1,1,1,3,Giỏi,70
28,91,98,7,2,5,2,1,0,0,1,0,2,0,2,2,1,3,Giỏi,75
23,68,92,7,3,4,0,0,1,1,0,0,1,0,0,2,1,0,Yếu,65
23,65,58,7,1,3,1,2,1,0,1,0,1,1,1,1,0,0,Yếu,63
33,87,77,8,0,3,1,2,0,0,1,0,2,1,0,2,1,3,Giỏi,71
16,82,75,8,2,2,1,0,1,1,1,1,2,0,1,2,0,1,Trung bình,66
26,92,72,6,1,3,1,0,1,1,1,0,1,0,0,1,0,2,Khá,69
20,90,74,7,0,3,2,1,0,0,0,2,2,0,2,1,0,2,Khá,68
22,85,82,4,1,2,1,2,0,1,1,1,2,0,2,2,1,3,Giỏi,71
29,99,98,8,5,2,2,1,1,2,0,0,1,0,2,2,1,3,Giỏi,77
23,81,94,10,1,2,2,0,1,2,1,1,1,0,1,2,0,3,Giỏi,70
23,65,94,7,1,3,1,1,0,1,1,2,0,0,1,2,0,1,Trung bình,66
26,93,85,5,1,3,2,1,0,0,1,2,2,0,1,1,0,3,Giỏi,73
18,70,51,8,1,3,1,1,1,1,1,0,0,0,1,1,1,0,Yếu,62
15,91,72,6,0,2,1,1,0,0,1,1,1,0,0,1,0,0,Yếu,65
14,98,76,7,0,2,2,2,1,1,1,0,1,0,2,2,1,3,Giỏi,71
8,88,92,8,1,4,1,1,1,2,1,0,0,0,1,2,1,1,Trung bình,66
32,84,96,8,1,3,0,1,1,1,1,0,2,0,0,2,0,3,Giỏi,72
13,78,73,9,0,4,1,1,1,1,1,1,0,0,0,2,1,0,Yếu,64
19,75,65,7,0,4,1,1,0,0,1,0,1,0,0,2,0,0,Yếu,63
18,74,67,7,0,3,0,1,1,0,1,0,2,0,0,2,1,0,Yếu,63
22,85,79,8,5,2,2,1,0,2,1,1,1,0,0,2,0,3,Giỏi,72
25,90,64,7,2,2,1,1,1,1,1,1,2,0,0,1,1,3,Giỏi,71
25,87,96,6,3,2,2,2,1,0,0,1,2,0,0,1,0,3,Giỏi,72
17,68,71,8,1,2,1,2,1,1,1,1,1,0,0,2,1,0,Yếu,65
19,80,100,5,0,3,1,1,1,1,1,1,1,0,0,2,0,1,Trung bình,67
22,92,55,7,1,4,0,2,1,0,1,0,2,0,0,1,0,2,Khá,68
19,79,59,5,2,2,1,2,1,1,1,0,1,0,2,0,1,1,Trung bình,66
30,81,76,6,0,3,1,2,0,1,1,2,2,0,2,2,1,3,Giỏi,72
23,91,93,6,3,3,2,1,0,1,1,0,1,0,0,1,0,3,Giỏi,71
24,86,68,6,3,3,1,2,0,0,1,0,2,1,1,1,0,3,Giỏi,70
24,76,92,9,1,3,1,1,0,1,1,1,1,0,2,2,0,2,Khá,68
27,96,71,9,0,4,1,2,0,0,1,0,2,0,1,2,0,3,Giỏi,72
21,67,93,9,1,3,0,1,1,2,1,0,1,0,1,2,1,1,Trung bình,66
12,100,64,7,1,6,1,1,0,1,1,1,2,0,0,2,1,2,Khá,69
22,65,74,6,2,1,0,1,1,2,1,1,2,0,1,2,1,0,Yếu,65
16,61,64,8,1,3,2,2,0,1,1,0,2,0,0,0,1,0,Yếu,62
17,96,61,7,1,1,2,2,0,0,1,0,2,0,1,1,0,2,Khá,69
24,70,71,7,1,4,1,1,1,1,1,1,0,0,0,2,1,0,Yếu,65
27,89,67,4,2,4,1,0,0,1,1,0,1,0,1,2,0,2,Khá,69
20,92,89,8,1,3,0,2,1,1,1,0,1,0,0,1,0,2,Khá,69
22,94,87,8,2,5,2,1,1,1,1,0,1,0,1,2,0,3,Giỏi,73
30,100,68,7,2,2,2,1,1,0,1,1,1,0,2,2,0,3,Giỏi,75
21,72,100,8,3,3,2,2,1,1,1,0,2,0,1,0,1,3,Giỏi,70
36,88,99,8,0,3,1,2,0,2,1,0,0,0,1,2,0,3,Giỏi,74
23,65,96,6,0,3,1,1,1,1,1,0,2,0,0,2,1,0,Yếu,65
9,76,79,7,1,3,1,1,0,1,1,1,0,0,1,2,1,0,Yếu,63
25,94,71,5,4,4,2,2,0,0,1,1,0,0,1,2,0,3,Giỏi,74
22,75,66,9,0,2,2,2,1,0,1,0,1,0,2,2,1,1,Trung bình,67
28,84,51,8,3,4,1,1,1,1,0,1,2,0,2,2,0,3,Giỏi,71
24,80,82,6,1,3,2,0,1,1,1,0,1,0,1,1,0,2,Khá,68
19,86,78,8,2,4,2,1,0,1,1,1,0,0,1,2,0,2,Khá,69
13,99,81,7,0,4,1,2,0,1,1,1,2,0,2,2,1,3,Giỏi,71
19,62,79,6,7,2,2,1,1,0,1,1,1,0,0,2,0,1,Trung bình,66
15,83,57,7,0,3,1,1,1,0,1,1,2,0,2,2,1,0,Yếu,65
17,95,85,8,1,2,1,0,1,0,0,0,0,0,1,1,0,1,Trung bình,66
24,79,68,8,2,2,0,0,1,2,1,0,0,0,0,2,1,0,Yếu,65
30,63,76,10,1,4,1,1,0,1,1,1,1,0,2,1,0,1,Trung bình,67
22,82,68,7,2,4,2,1,0,2,1,0,1,0,2,2,1,3,Giỏi,70
13,73,51,7,1,4,1,1,1,1,1,0,2,0,2,2,1,0,Yếu,63
23,66,94,8,1,3,0,0,0,0,1,1,1,0,2,1,1,0,Yếu,64
27,94,57,7,1,1,1,1,1,1,1,1,1,0,0,2,1,3,Giỏi,71
16,81,79,6,2,3,1,2,1,1,1,0,2,0,1,1,0,2,Khá,68
19,97,94,6,2,4,1,0,0,1,1,2,1,0,2,2,1,3,Giỏi,72
20,92,61,4,2,4,1,2,1,1,1,2,1,0,1,2,1,3,Giỏi,71
15,88,71,8,1,2,0,0,1,1,0,0,2,0,2,1,1,0,Yếu,64
24,60,69,5,1,5,2,0,1,1,1,1,1,0,0,1,1,0,Yếu,64
19,77,54,6,3,2,2,1,1,0,1,2,0,0,1,1,1,1,Trung bình,66
23,68,71,7,3,3,1,2,1,2,1,1,2,0,0,1,0,2,Khá,68
15,96,74,7,2,2,2,1,0,1,1,0,2,0,0,0,1,2,Khá,68
17,67,51,10,3,5,2,1,1,1,1,0,2,0,0,2,1,0,Yếu,65
24,71,74,5,1,3,1,1,1,1,1,1,2,0,0,2,1,1,Trung bình,67
18,81,55,10,3,2,1,0,1,0,1,0,0,0,0,2,1,0,Yếu,64
30,71,95,9,1,4,2,1,1,2,0,1,1,0,1,2,1,3,Giỏi,70
18,68,83,8,1,2,1,2,1,0,1,0,2,0,1,2,1,0,Yếu,65
21,84,53,9,2,3,1,0,0,0,1,1,0,0,0,1,0,0,Yếu,65
26,64,91,8,1,4,2,1,0,2,1,1,2,0,0,2,1,2,Khá,68
11,62,68,4,2,3,1,2,1,1,1,2,0,0,0,1,1,0,Yếu,61
9,75,61,8,3,3,2,0,0,2,1,1,1,0,0,2,1,0,Yếu,63
11,89,63,5,0,2,1,1,1,1,1,1,1,0,1,2,0,0,Yếu,65
28,82,80,6,1,5,1,1,1,1,1,0,1,0,0,0,0,2,Khá,69
17,77,54,7,1,2,1,1,0,0,1,0,2,0,1,2,1,0,Yếu,64
35,83,53,6,1,2,1,0,0,1,1,0,1,0,0,2,0,2,Khá,69
17,75,81,8,3,3,2,1,1,0,1,2,1,1,2,2,1,1,Trung bình,67
21,97,99,7,1,1,1,2,1,2,1,1,1,0,2,1,1,3,Giỏi,74
29,62,74,8,1,3,2,1,1,1,1,0,0,1,1,2,1,1,Trung bình,66
32,87,71,7,0,4,1,2,1,1,1,2,1,1,1,2,1,3,Giỏi,72
32,96,97,7,1,5,1,0,1,0,1,0,1,0,1,1,1,3,Giỏi,73
27,92,62,6,0,4,2,1,0,2,1,1,2,0,1,2,1,3,Giỏi,73
26,67,62,5,0,2,0,1,1,2,1,1,0,0,0,1,1,0,Yếu,63
24,72,95,7,3,2,2,1,1,1,1,0,0,0,2,2,1,2,Khá,69
25,89,82,6,2,6,0,0,1,2,1,0,1,0,2,2,1,3,Giỏi,71
17,63,53,9,1,4,2,1,0,2,1,0,1,0,1,1,1,0,Yếu,63
15,92,84,5,0,5,1,2,1,1,1,2,2,0,0,1,0,2,Khá,69
20,89,91,10,3,3,2,2,1,0,1,1,1,0,1,1,1,3,Giỏi,72
19,89,64,7,2,4,2,0,1,1,1,0,2,1,2,1,0,2,Khá,68
17,64,69,7,1,3,0,2,0,1,1,1,0,0,0,2,0,0,Yếu,62
24,89,60,6,1,2,0,2,1,1,1,0,1,0,0,2,1,2,Khá,68
26,87,82,8,1,2,1,1,1,2,1,0,0,0,2,2,1,3,Giỏi,71
21,93,83,7,1,3,1,0,1,0,0,2,1,1,0,1,1,1,Trung bình,67
29,62,53,7,0,3,0,2,1,2,1,0,2,0,1,1,0,0,Yếu,65
13,61,84,8,1,3,0,1,1,2,0,1,1,1,2,0,1,0,Yếu,60
19,75,83,8,2,2,1,2,1,2,1,2,1,0,0,2,1,2,Khá,68
16,66,52,9,1,3,0,1,1,1,1,1,0,1,0,2,1,0,Yếu,59
9,82,78,8,0,0,2,1,0,1,1,2,1,0,0,1,0,0,Yếu,64
20,97,81,6,2,3,2,1,1,2,1,0,1,0,0,1,1,3,Giỏi,71
19,76,72,4,2,2,2,2,0,0,1,2,1,0,1,1,0,2,Khá,68
29,94,95,7,2,3,0,1,1,1,0,0,1,1,1,1,1,3,Giỏi,70
24,60,66,7,1,4,0,0,0,1,1,1,1,0,1,2,0,0,Yếu,62
14,67,53,10,2,3,1,1,0,1,1,2,1,0,1,2,1,0,Yếu,62
31,61,84,7,2,3,2,1,0,1,1,1,1,0,0,2,1,2,Khá,68
27,73,80,8,3,3,1,1,0,0,1,1,0,0,0,2,0,2,Khá,68
23,96,99,8,3,4,1,1,1,2,1,0,2,0,0,2,0,3,Giỏi,74
19,64,62,8,0,4,0,1,0,1,1,2,2,1,1,2,1,0,Yếu,61
14,84,70,8,1,5,1,1,1,1,1,0,1,0,1,2,1,1,Trung bình,67
18,78,73,6,1,2,1,0,0,1,1,2,2,0,0,1,0,0,Yếu,65
27,98,93,6,5,3,0,1,1,0,0,2,2,0,0,1,0,3,Giỏi,101
31,65,71,7,1,4,1,0,1,1,1,0,1,0,0,1,1,0,Yếu,65
29,68,89,4,0,4,1,1,0,1,1,1,1,1,1,2,1,1,Trung bình,67
17,61,58,7,2,3,1,2,1,0,1,0,2,1,0,2,0,0,Yếu,61
13,77,70,6,3,4,1,1,0,1,1,1,1,1,0,2,1,0,Yếu,64
21,71,58,7,1,3,2,0,0,2,1,1,2,1,1,0,0,0,Yếu,64
9,95,97,7,1,2,1,1,1,1,1,0,1,0,1,2,1,1,Trung bình,67
22,84,59,5,0,3,1,1,1,1,1,2,2,0,1,2,0,2,Khá,69
19,85,71,9,1,2,2,1,1,0,1,1,2,0,2,1,0,2,Khá,69
17,81,54,7,4,3,2,1,0,1,1,0,2,0,0,2,0,1,Trung bình,67
10,64,96,8,1,3,1,2,0,1,1,1,1,0,0,1,1,0,Yếu,62
23,78,81,7,0,1,0,2,0,1,1,0,1,0,0,2,1,1,Trung bình,66
17,100,98,8,0,4,2,1,0,0,1,1,2,0,1,2,1,3,Giỏi,72
13,93,52,5,2,3,1,1,1,0,1,1,2,0,1,2,0,1,Trung bình,67
3,96,59,9,2,3,2,2,1,1,1,0,0,0,1,1,0,1,Trung bình,66
20,93,69,8,2,4,0,0,1,1,1,0,1,0,0,1,1,1,Trung bình,67
31,64,81,7,1,4,2,0,1,0,1,1,2,0,0,2,0,1,Trung bình,67
30,69,66,7,0,4,1,1,1,1,1,1,2,0,2,2,0,2,Khá,68
17,60,86,9,0,2,2,1,1,1,1,0,2,0,0,2,1,0,Yếu,63
16,72,58,6,1,2,1,2,0,0,1,1,0,0,0,0,1,0,Yếu,62
23,64,80,5,3,2,2,1,1,0,1,1,0,1,1,1,0,0,Yếu,65
14,79,70,6,1,6,1,1,1,1,1,0,2,0,1,1,1,0,Yếu,65
22,87,75,7,0,2,1,2,1,1,1,1,2,1,1,2,0,3,Giỏi,70
25,95,78,7,7,4,0,1,0,1,1,0,2,0,0,2,1,3,Giỏi,73
27,90,53,9,1,2,2,1,1,1,1,1,2,0,2,2,0,3,Giỏi,73
19,98,96,6,2,2,1,0,1,1,0,0,0,0,0,1,1,2,Khá,68
19,62,89,6,3,1,1,0,0,2,1,1,2,0,0,1,1,0,Yếu,63
15,60,72,5,2,2,1,0,1,2,1,2,2,0,0,2,1,0,Yếu,62
15,86,77,8,0,3,2,1,1,1,1,1,2,0,2,2,1,2,Khá,69
19,72,52,5,2,3,1,2,0,1,1,1,1,0,2,2,1,1,Trung bình,66
22,70,75,8,0,3,1,2,1,2,1,1,2,0,2,2,1,2,Khá,68
25,73,71,6,0,3,2,1,1,0,1,0,2,0,1,0,0,1,Trung bình,67
15,71,69,6,2,4,2,2,1,0,1,0,0,0,1,2,0,0,Yếu,65
29,80,91,10,1,3,0,1,1,2,0,2,2,0,1,1,1,3,Giỏi,70
18,78,59,9,0,1,0,1,1,2,0,2,2,0,0,1,0,0,Yếu,64
20,80,59,7,2,3,0,0,1,2,1,1,1,0,0,1,1,0,Yếu,65
16,87,76,5,1,2,1,1,0,2,1,0,1,0,2,0,0,1,Trung bình,67
5,75,84,10,0,4,1,0,1,1,1,2,1,0,2,1,0,0,Yếu,62
25,70,51,7,3,4,1,1,1,2,1,0,2,0,0,1,1,1,Trung bình,66
